"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"HII";"Huntington Ingalls Industries";"Industrials";268.07;-0.31608137;268005;14.65;3.44
"HLT";"Hilton Worldwide Holdings Inc";"Consumer Discretionary";112.94;1.409715;2384205;3.162;0.6
"HOG";"Harley-Davidson";"Consumer Discretionary";34.18;0.73681104;1053257;2.68;1.5
"HOLX";"Hologic";"Health Care";53.43;0.31919262;1348514;0.308;NA
"HON";"Honeywell Int'l Inc.";"Industrials";179.15;1.2432873;2930471;8.41;3.36
"HP";"Helmerich & Payne";"Energy";44.08;1.1705351;1115278;-0.24;2.84
"HPE";"Hewlett Packard Enterprise";"Information Technology";14.87;0.67704415;4858857;0.77;0.45
"HPQ";"HP Inc.";"Information Technology";22.23;1.506849;9178028;2.07;0.641
"HRB";"H&R Block";"Consumer Discretionary";22.03;1.6612858;2398511;2.025;1.02
"HRL";"Hormel Foods Corp.";"Consumer Staples";47.48;0.31691888;1466358;1.8;0.84
"HSIC";"Henry Schein";"Health Care";70.89;1.011683;497583;3.312;NA
"HST";"Host Hotels & Resorts";"Real Estate";16.93;1.4379854;5478808;1.55;0.8
"HSY";"The Hershey Company";"Consumer Staples";157.65;0.4204015;666948;5.46;2.99
"HUM";"Humana Inc.";"Health Care";357.17;1.1813068;640319;20.1;2.2
"IBM";"International Business Machines";"Information Technology";153.48;-0.6151635;3793537;10.566;6.43
"ICE";"Intercontinental Exchange";"Financials";94.76;-0.06327521;3729986;3.42;1.1
"IDXX";"IDEXX Laboratories";"Health Care";283.38;1.5153184;282235;4.89;NA
"IEX";"IDEX Corporation";"Industrials";176.05;0.90560085;310596;5.56;2
"IFF";"Intl Flavors & Fragrances";"Materials";137.98;-0.7766445;932191;3.399;2.94
"ILMN";"Illumina Inc";"Health Care";296;0.54006195;3528533;6.74;NA
"INCY";"Incyte";"Health Care";76.14;1.3713205;985510;1.871;NA
"INFO";"IHS Markit Ltd.";"Industrials";80.62;-0.59185666;1623451;1.23;NA
"INTC";"Intel Corp.";"Information Technology";67.41;1.5363824;17975623;4.71;1.26
"INTU";"Intuit Inc.";"Information Technology";296.92;-0.2754003;903545;5.98;1.94
"IP";"International Paper";"Materials";44.37;1.4403229;1665810;3.07;2.013
"IPG";"Interpublic Group";"Communication Services";23.25;0.3886017;3967271;1.678;0.915
"IPGP";"IPG Photonics Corp.";"Information Technology";140.75;1.8672664;375895;4.832;NA
"IQV";"IQVIA Holdings Inc.";"Health Care";161.7;1.1067369;1559290;1.201;NA
"IR";"Ingersoll-Rand PLC";"Industrials";144.36;0.1734786;1356757;5.773;2.12
"IRM";"Iron Mountain Incorporated";"Real Estate";31.79;-0.5630228;2050151;1.379;2.444
"ISRG";"Intuitive Surgical Inc.";"Health Care";587.82;0.49407873;405489;11.54;NA
"IT";"Gartner Inc";"Information Technology";152.08;1.9507968;1007847;2.735;NA
"ITW";"Illinois Tool Works";"Industrials";187.13;1.7896043;1004378;7.74;4.14
"IVZ";"Invesco Ltd.";"Financials";18.89;1.6684579;4771214;1.28;1.24
"J";"Jacobs Engineering Group";"Industrials";97.73;0.73181486;789297;NA;NA
"JBHT";"J. B. Hunt Transport Services";"Industrials";112.41;0.30338535;415257;4.75;1.04
"JCI";"Johnson Controls International";"Industrials";40.76;0.5426675;3043583;6.55;1.04
"JKHY";"Jack Henry & Associates";"Information Technology";168.12;-0.15441842;422713;3.658;1.6
"JNJ";"Johnson & Johnson";"Health Care";151.99;0.08560838;3564274;5.63;3.75
"JNPR";"Juniper Networks";"Information Technology";24.47;1.1993343;4079107;0.99;0.76
"JPM";"JPMorgan Chase & Co.";"Financials";138;0.18875745;6195926;10.72;3.4
"JWN";"Nordstrom";"Consumer Discretionary";38.49;1.5567286;1299141;3.479;1.48
"K";"Kellogg Co.";"Consumer Staples";66.27;1.4233247;2151548;2.8;2.26
"KEY";"KeyCorp";"Financials";19.7;0.9221327;6364277;1.619;0.71
"KEYS";"Keysight Technologies";"Information Technology";96.15;1.6922246;1300662;3.25;NA
"KHC";"Kraft Heinz Co";"Consumer Staples";30.01;1.0778029;6583309;-8.873;1.825
"KIM";"Kimco Realty";"Real Estate";19.12;-2.944162;4208918;0.794;1.12
"KLAC";"KLA Corporation";"Information Technology";173.04;2.4390216;1250154;7.128;3.1
"KMB";"Kimberly-Clark";"Consumer Staples";145.25;-0.6565944;1030792;6.24;4.12
"KMI";"Kinder Morgan";"Energy";21.46;0.6566576;9242165;0.967;1
"KMX";"Carmax Inc";"Consumer Discretionary";98.84;1.2186327;927060;5.154;NA
